Date,Open,High,Low,Close,Volume,Daily_Return,Change_Pct
2024-05-01,147.47,147.79,144.2,146.89,93240671,-0.020712612066011223,-0.39
2024-05-02,149.33,151.16,147.39,149.97,115187137,0.02094690893167172,0.43
2024-05-03,150.14,153.1,149.16,150.97,100233360,0.006659569961039841,0.55
2024-05-06,146.72,149.49,144.88,146.57,106546778,-0.02912589427836184,-0.1
2024-05-07,145.66,146.05,143.75,145.02,108968961,-0.010572005039370728,-0.44
2024-05-08,149.73,152.24,147.32,149.96,70305031,0.03402873074194302,0.15
2024-05-09,144.2,144.52,140.55,142.83,133151141,-0.04753358486786148,-0.95
2024-05-10,142.27,143.71,141.21,141.75,90554239,-0.007578252577123545,-0.37
2024-05-13,145.42,145.92,143.93,145.48,129571832,0.026318725174110682,0.04
2024-05-14,142.79,144.24,142.55,143.1,116465172,-0.016334808045302036,0.22
2024-05-15,140.86,141.98,138.5,141.3,75524313,-0.012577723032441087,0.31
2024-05-16,141.82,142.14,139.91,141.17,108760478,-0.0008941793787378225,-0.46
2024-05-17,145.35,147.02,145.33,145.53,144356691,0.03082779252248576,0.12
2024-05-20,142.55,145.73,142.61,143.81,100967365,-0.01177803993369302,0.88
2024-05-21,142.39,142.98,140.41,142.68,61321457,-0.007879639192921308,0.2
2024-05-22,142.26,141.95,140.78,141.58,75102734,-0.007687025512370347,-0.48
2024-05-23,147.03,148.92,146.13,147.97,74764088,0.045118601654509115,0.64
2024-05-24,153.59,156.64,153.57,154.59,125980032,0.04473572177947573,0.65
2024-05-27,157.95,160.52,154.78,157.85,65818841,0.021081077957577545,-0.06
2024-05-28,159.33,160.99,158.07,159.23,101120705,0.00872372798349712,-0.06
2024-05-29,162.17,164.5,158.6,161.73,116491669,0.015747371517924845,-0.27
2024-05-30,167.88,168.0,165.87,166.72,80281660,0.030814640563015982,-0.69
2024-05-31,164.5,164.8,162.04,163.76,129730683,-0.017716677368047825,-0.45
2024-06-03,168.15,168.97,164.83,167.78,104088488,0.02451658089564207,-0.22
