Date,Open,High,Low,Close,Volume,Daily_Return,Change_Pct,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,Volume_Change_Pct
2024-05-01,147.47,147.79,144.2,146.89,93240671,-0.020712612066011223,-0.39,,,146.89,146.89,,0.0,0.0,0.0,,,,
2024-05-02,149.33,151.16,147.39,149.97,115187137,0.02094690893167172,0.43,,,148.56,148.49,,0.07,0.0389,0.0311,,,,23.54
2024-05-03,150.14,153.1,149.16,150.97,100233360,0.006659569961039841,0.55,,,149.5,149.38,,0.12,0.0721,0.0479,,,,-12.98
2024-05-06,146.72,149.49,144.88,146.57,106546778,-0.02912589427836184,-0.1,,,148.57,148.59,,-0.02,0.0409,-0.0609,,,,6.3
2024-05-07,145.66,146.05,143.75,145.02,108968961,-0.010572005039370728,-0.44,,,147.61,147.77,,-0.16,-0.0188,-0.1412,,,,2.27
2024-05-08,149.73,152.24,147.32,149.96,70305031,0.03402873074194302,0.15,,,148.18,148.21,,-0.03,-0.0219,-0.0081,,,,-35.48
2024-05-09,144.2,144.52,140.55,142.83,133151141,-0.04753358486786148,-0.95,,,146.99,147.25,,-0.26,-0.0821,-0.1779,,,,89.39
2024-05-10,142.27,143.71,141.21,141.75,90554239,-0.007578252577123545,-0.37,,,145.89,146.36,,-0.47,-0.1753,-0.2947,,,,-31.99
2024-05-13,145.42,145.92,143.93,145.48,129571832,0.026318725174110682,0.04,,,145.81,146.23,,-0.42,-0.2319,-0.1881,,,,43.09
2024-05-14,142.79,144.24,142.55,143.1,116465172,-0.016334808045302036,0.22,,,145.3,145.8,,-0.5,-0.2919,-0.2081,,,,-10.12
2024-05-15,140.86,141.98,138.5,141.3,75524313,-0.012577723032441087,0.31,,,144.57,145.22,,-0.65,-0.3703,-0.2797,,,,-35.15
2024-05-16,141.82,142.14,139.91,141.17,108760478,-0.0008941793787378225,-0.46,,,143.96,144.72,,-0.76,-0.454,-0.306,,,,44.01
2024-05-17,145.35,147.02,145.33,145.53,144356691,0.03082779252248576,0.12,,,144.23,144.81,,-0.58,-0.4806,-0.0994,,,,32.73
2024-05-20,142.55,145.73,142.61,143.81,100967365,-0.01177803993369302,0.88,,,144.16,144.7,45.87,-0.54,-0.4931,-0.0469,,,,-30.06
2024-05-21,142.39,142.98,140.41,142.68,61321457,-0.007879639192921308,0.2,,,143.91,144.48,44.52,-0.57,-0.509,-0.061,,,,-39.27
2024-05-22,142.26,141.95,140.78,141.58,75102734,-0.007687025512370347,-0.48,,,143.53,144.18,38.49,-0.65,-0.538,-0.112,,,,22.47
2024-05-23,147.03,148.92,146.13,147.97,74764088,0.045118601654509115,0.64,,,144.25,144.56,46.41,-0.31,-0.4914,0.1814,,,,-0.45
2024-05-24,153.59,156.64,153.57,154.59,125980032,0.04473572177947573,0.65,,,145.93,145.55,59.1,0.38,-0.3139,0.6939,,,,68.5
2024-05-27,157.95,160.52,154.78,157.85,65818841,0.021081077957577545,-0.06,,,147.84,146.74,64.02,1.1,-0.027,1.127,,,,-47.75
2024-05-28,159.33,160.99,158.07,159.23,101120705,0.00872372798349712,-0.06,146.91,,149.66,147.92,60.98,1.74,0.3305,1.4095,146.91,157.69,136.13,53.63
2024-05-29,162.17,164.5,158.6,161.73,116491669,0.015747371517924845,-0.27,147.65,,151.57,149.19,75.15,2.38,0.7442,1.6358,147.65,160.31,134.99,15.2
2024-05-30,167.88,168.0,165.87,166.72,80281660,0.030814640563015982,-0.69,148.49,,153.96,150.79,80.09,3.17,1.233,1.937,148.49,163.74,133.24,-31.08
2024-05-31,164.5,164.8,162.04,163.76,129730683,-0.017716677368047825,-0.45,149.13,,155.5,151.94,72.45,3.56,1.7012,1.8588,149.13,165.82,132.44,61.59
2024-06-03,168.15,168.97,164.83,167.78,104088488,0.02451658089564207,-0.22,150.19,,157.43,153.34,79.13,4.09,2.1812,1.9088,150.19,168.79,131.59,-19.77
2024-06-04,164.47,164.3,162.24,163.74,119228982,-0.024077613354980248,-0.44,151.13,,158.41,154.24,75.16,4.17,2.5805,1.5895,151.13,170.5,131.76,14.55
2024-06-05,161.24,164.5,158.79,161.81,120424312,-0.011755030049068207,0.35,151.72,,158.94,154.89,72.24,4.05,2.8753,1.1747,151.72,171.65,131.79,1.0
2024-06-06,164.46,166.03,163.77,164.91,58409695,0.019142103916006025,0.27,152.82,,159.87,155.74,71.47,4.13,3.1268,1.0032,152.82,173.12,132.52,-51.5
2024-06-07,159.49,162.14,160.35,160.36,85434463,-0.027573614004519378,0.55,153.76,,159.95,156.12,67.25,3.83,3.2677,0.5623,153.76,173.63,133.89,46.27
2024-06-10,159.42,161.93,159.34,160.08,66722667,-0.0018013744037733218,0.41,154.48,,159.97,156.45,68.46,3.52,3.3183,0.2017,154.48,174.14,134.82,-21.9
2024-06-11,157.89,159.12,156.13,157.48,112900775,-0.01623509791719371,-0.26,155.2,,159.58,156.54,66.35,3.04,3.2625,-0.2225,155.2,174.15,136.25,69.21
2024-06-12,155.55,156.84,154.01,156.83,97063321,-0.004112387410611938,0.82,155.98,,159.16,156.56,60.33,2.6,3.1299,-0.5299,155.98,173.76,138.2,-14.03
2024-06-13,148.01,151.14,147.32,148.21,115960061,-0.05497178210921449,0.14,156.33,,157.46,155.88,42.89,1.58,2.8197,-1.2397,156.33,173.13,139.53,19.47
2024-06-14,142.91,145.7,142.14,143.11,59861836,-0.03443066209019694,0.14,156.21,,155.25,154.86,34.23,0.39,2.3334,-1.9434,156.21,173.37,139.05,-48.38
2024-06-17,141.23,141.83,138.56,141.25,103421954,-0.012997544691958345,0.01,156.08,,153.09,153.77,30.95,-0.68,1.7304,-2.4104,156.08,173.66,138.5,72.77
2024-06-18,143.79,144.85,143.41,144.01,93964960,0.01954924863517165,0.15,156.15,,151.69,152.99,31.33,-1.3,1.1241,-2.4241,156.15,173.53,138.77,-9.14
2024-06-19,143.11,145.14,142.27,143.65,147331040,-0.002472713655804316,0.38,156.25,,150.45,152.26,23.07,-1.81,0.5371,-2.3471,156.25,173.28,139.22,56.79
2024-06-20,143.59,146.4,142.15,143.8,89695657,0.0010569183179362203,0.15,156.05,,149.42,151.59,25.06,-2.17,-0.0045,-2.1655,156.05,173.6,138.5,-39.12
2024-06-21,147.07,148.8,145.31,145.93,140236137,0.014764454222045698,-0.78,155.61,,148.88,151.15,21.35,-2.27,-0.4577,-1.8123,155.61,173.73,137.49,56.35
2024-06-24,144.78,144.24,141.82,143.5,73544908,-0.016590726860181038,-0.88,154.89,,148.05,150.55,22.29,-2.5,-0.8662,-1.6338,154.89,173.76,136.02,-47.56
2024-06-25,144.47,146.09,142.96,144.46,131532869,0.00667254647614582,-0.01,154.16,,147.5,150.08,25.6,-2.58,-1.209,-1.371,154.16,173.47,134.85,78.85
2024-06-26,142.63,144.58,139.95,142.28,101022693,-0.015107330361312316,-0.25,153.18,,146.7,149.48,17.33,-2.78,-1.5232,-1.2568,153.18,172.84,133.52,-23.2
2024-06-27,136.45,138.59,135.64,137.51,102431551,-0.033553389882412146,0.78,151.72,,145.28,148.55,17.22,-3.27,-1.8726,-1.3974,151.72,171.48,131.96,1.39
2024-06-28,136.07,138.56,136.15,136.57,144905541,-0.00681799587510202,0.37,150.36,,143.94,147.63,16.9,-3.69,-2.2361,-1.4539,150.36,170.38,130.34,41.47
2024-07-01,138.04,138.72,136.02,138.27,81073730,0.012476117248101156,0.17,148.89,,143.07,146.91,22.25,-3.84,-2.5569,-1.2831,148.89,167.82,129.96,-44.05
2024-07-02,140.37,141.02,137.72,139.35,60862035,0.00777178101999603,-0.73,147.67,,142.5,146.34,25.06,-3.84,-2.8135,-1.0265,147.67,165.69,129.65,-24.93
2024-07-03,138.76,141.87,139.42,139.45,104764945,0.0007633901104236048,0.5,146.55,,142.03,145.81,33.48,-3.78,-3.0068,-0.7732,146.55,163.63,129.47,72.14
2024-07-04,146.21,149.14,144.03,146.26,136827923,0.04884730531875452,0.03,145.62,,142.68,145.84,55.58,-3.16,-3.0375,-0.1225,145.62,160.35,130.89,30.6
2024-07-05,149.05,147.85,147.37,147.62,74277661,0.009258243206175576,-0.96,144.98,,143.44,145.98,61.49,-2.54,-2.938,0.398,144.98,158.04,131.92,-45.71
2024-07-08,150.71,151.95,150.41,150.66,59899209,0.020574720118746934,-0.03,144.51,,144.55,146.33,61.87,-1.78,-2.7064,0.9264,144.51,155.84,133.18,-19.36
2024-07-09,157.91,158.19,154.69,157.55,140782899,0.045762866769959054,-0.23,144.51,149.14,146.55,147.18,70.12,-0.63,-2.2911,1.6611,144.51,155.86,133.16,135.03
2024-07-10,152.46,155.01,151.98,153.63,61754882,-0.024881706463224976,0.77,144.35,149.27,147.64,147.67,62.83,-0.03,-1.8389,1.8089,144.35,155.03,133.67,-56.13
2024-07-11,151.58,152.24,149.09,150.59,120405169,-0.01977576420409907,-0.65,144.47,149.28,148.09,147.89,55.94,0.2,-1.4311,1.6311,144.47,155.39,133.55,94.97
2024-07-12,156.32,156.29,153.85,155.99,85222905,0.035874244502458616,-0.21,145.12,149.39,149.31,148.5,64.8,0.81,-0.9829,1.7929,145.12,157.16,133.08,-29.22
2024-07-15,153.8,154.57,150.73,153.66,60455549,-0.01496125470482125,-0.09,145.74,149.53,149.98,148.89,60.56,1.09,-0.5683,1.6583,145.74,158.21,133.27,-29.06
2024-07-16,153.42,156.76,151.57,153.91,127020680,0.0015936646060666043,0.32,146.23,149.71,150.58,149.27,63.97,1.31,-0.1926,1.5026,146.23,159.19,133.27,110.11
2024-07-17,156.73,159.14,154.5,157.35,83232368,0.022386319388486974,0.4,146.92,149.85,151.62,149.87,74.62,1.75,0.1959,1.5541,146.92,160.73,133.11,-34.47
2024-07-18,160.05,161.78,157.87,160.31,66521618,0.018814127825863416,0.16,147.74,150.2,152.96,150.66,78.05,2.3,0.6167,1.6833,147.74,162.69,132.79,-20.08
2024-07-19,166.7,168.6,165.46,166.1,145873443,0.036097723639622194,-0.36,148.75,150.69,154.98,151.81,79.98,3.17,1.1274,2.0426,148.75,165.76,131.74,119.29
2024-07-22,172.52,173.77,170.87,171.23,130465831,0.030912882740669386,-0.75,150.14,151.2,157.48,153.27,81.59,4.21,1.7439,2.4661,150.14,169.68,130.6,-10.56
2024-07-23,175.1,175.24,171.72,175.07,78984218,0.022387853394114737,-0.02,151.67,151.84,160.19,154.9,82.86,5.29,2.4531,2.8369,151.67,173.94,129.4,-39.46
2024-07-24,173.12,174.98,170.13,172.54,74539881,-0.01445417428494383,-0.34,153.18,152.47,162.09,156.22,76.32,5.87,3.1365,2.7335,153.18,176.84,129.52,-5.63
2024-07-25,175.75,178.4,175.38,175.45,50534875,0.016897253355864363,-0.17,155.08,153.15,164.14,157.65,77.04,6.49,3.8072,2.6828,155.08,179.52,130.64,-32.2
2024-07-26,177.17,177.32,175.1,176.73,135153394,0.007285439890137341,-0.25,157.09,153.78,166.08,159.08,76.22,7.0,4.4458,2.5542,157.09,181.72,132.46,167.45
2024-07-29,172.82,174.91,170.93,172.22,97901767,-0.025525309198809118,-0.35,158.78,154.35,167.02,160.06,65.5,6.96,4.9486,2.0114,158.78,182.62,134.94,-27.56
2024-07-30,178.49,178.29,173.75,177.27,87408873,0.029345980929537052,-0.68,160.68,155.04,168.6,161.34,74.39,7.26,5.4109,1.8491,160.68,184.04,137.32,-10.72
2024-07-31,178.81,181.42,178.45,180.31,74065607,0.017144730691571332,0.84,162.72,155.81,170.4,162.76,80.66,7.64,5.8567,1.7833,162.72,185.4,140.04,-15.27
2024-08-01,181.61,183.06,180.61,180.66,64093905,0.0019098016126219432,-0.52,164.44,156.47,171.98,164.09,78.42,7.89,6.2634,1.6266,164.44,187.08,141.8,-13.46
2024-08-02,179.07,180.4,177.75,179.99,78833658,-0.00366184121968827,0.51,166.06,156.97,173.21,165.27,81.53,7.94,6.5987,1.3413,166.06,188.26,143.86,23.0
2024-08-05,174.79,178.2,172.68,175.86,91432557,-0.02296602289401574,0.61,167.32,157.33,173.62,166.06,74.05,7.56,6.791,0.769,167.32,188.68,145.96,15.98
2024-08-06,176.99,179.88,174.84,176.74,50719500,0.004990481471172652,-0.14,168.28,157.68,174.1,166.86,72.51,7.24,6.8808,0.3592,168.28,189.52,147.04,-44.53
2024-08-07,177.13,181.06,178.44,178.57,70194074,0.010368782388912885,0.81,169.53,158.02,174.79,167.73,71.77,7.06,6.9166,0.1434,169.53,190.06,149.0,38.4
2024-08-08,177.14,177.33,173.47,175.78,122994683,-0.015623099684865582,-0.77,170.79,158.2,174.94,168.33,62.43,6.61,6.8553,-0.2453,170.79,189.44,152.14,75.22
2024-08-09,180.5,181.62,179.32,180.04,114503357,0.024244080981990587,-0.25,171.99,158.53,175.72,169.2,61.57,6.52,6.7882,-0.2682,171.99,189.7,154.28,-6.9
2024-08-12,177.06,178.97,175.56,176.27,103158183,-0.020944060929660686,-0.45,173.12,158.7,175.81,169.72,51.58,6.09,6.6486,-0.5586,173.12,188.65,157.59,-9.91
2024-08-13,167.33,170.87,166.29,168.96,123338676,-0.04146200700084884,0.97,173.87,158.8,174.76,169.67,45.82,5.09,6.3369,-1.2469,173.87,186.71,161.03,19.56
2024-08-14,172.97,172.94,170.72,172.65,116953935,0.02179454181785401,-0.19,174.64,159.02,174.43,169.89,46.79,4.54,5.9775,-1.4375,174.64,184.9,164.38,-5.18
2024-08-15,171.62,173.42,170.45,171.43,64151975,-0.007067320762042151,-0.11,175.19,159.15,173.97,170.0,43.91,3.97,5.576,-1.606,175.19,183.12,167.26,-45.15
2024-08-16,170.0,173.95,169.15,171.16,147603848,-0.0015205917062603028,0.68,175.45,159.37,173.54,170.09,48.65,3.45,5.1508,-1.7008,175.45,182.43,168.47,130.08
2024-08-19,167.3,169.6,165.74,168.47,53885054,-0.015750334456501064,0.7,175.31,159.53,172.76,169.97,38.08,2.79,4.6786,-1.8886,175.31,182.73,167.89,-63.49
2024-08-20,163.86,166.25,163.12,163.23,96181072,-0.03111925521434805,-0.38,174.72,159.65,171.29,169.47,28.16,1.82,4.1069,-2.2869,174.72,183.9,165.54,78.49
2024-08-21,166.88,170.0,166.32,167.49,110982530,0.02610474749448437,0.37,174.46,159.86,170.71,169.32,34.69,1.39,3.5635,-2.1735,174.46,184.16,164.76,15.39
2024-08-22,165.98,167.25,164.9,165.35,52411267,-0.01277737967693843,-0.38,173.96,160.2,169.88,169.03,33.54,0.85,3.0208,-2.1708,173.96,184.46,163.46,-52.78
2024-08-23,171.19,173.58,167.67,171.01,74988967,0.034219049762958795,-0.11,173.67,160.76,170.06,169.17,44.73,0.89,2.5947,-1.7047,173.67,184.16,163.18,43.08
2024-08-26,173.55,174.21,171.39,173.94,65170739,0.017146163724214573,0.22,173.76,161.42,170.65,169.53,47.09,1.12,2.2997,-1.1797,173.76,184.23,163.29,-13.09
2024-08-27,174.49,175.99,171.29,173.02,128196535,-0.005295162934349199,-0.84,173.55,162.0,171.02,169.79,44.11,1.23,2.0858,-0.8558,173.55,183.89,163.21,96.71
2024-08-28,170.59,172.22,166.27,169.43,102136768,-0.02071804802253733,-0.68,173.0,162.51,170.77,169.76,43.38,1.01,1.8706,-0.8606,173.0,182.98,163.02,-20.33
2024-08-29,166.64,170.16,167.1,167.12,110085453,-0.013649239734409142,0.29,172.33,162.98,170.21,169.56,35.96,0.65,1.6265,-0.9765,172.33,181.96,162.7,7.78
2024-08-30,161.74,163.65,160.74,163.23,141074759,-0.023250462621903393,0.92,171.49,163.32,169.14,169.09,35.86,0.05,1.3112,-1.2612,171.49,181.23,161.75,28.15
