,signal,stance,confidence
2024-01-01,-1,bearish,0.49066255137721226
2024-01-02,0,neutral,0.5219500904449692
2024-01-03,0,neutral,0.5954324472499264
2024-01-04,1,bullish,0.5606804213158321
2024-01-05,0,neutral,0.417448012392018
2024-01-08,1,bullish,0.43534000916272764
2024-01-09,0,neutral,0.49629937293216525
2024-01-10,1,bullish,0.5949573876005539
2024-01-11,-1,bearish,0.4480582474977896
2024-01-12,1,bullish,0.5266246459310457
2024-01-15,0,neutral,0.44614279129669987
2024-01-16,1,bullish,0.45236034731960806
2024-01-17,1,bullish,0.5495395503256327
2024-01-18,0,neutral,0.46596222239977797
2024-01-19,-1,bearish,0.4092912520066446
2024-01-22,1,bullish,0.4020653272311122
2024-01-23,-1,bearish,0.4164847333378354
2024-01-24,-1,bearish,0.5692637463140244
2024-01-25,-1,bearish,0.47771883709207047
2024-01-26,1,bullish,0.4786848810282885
2024-01-29,1,bullish,0.5443518467951478
2024-01-30,1,bullish,0.4566401297885307
2024-01-31,1,bullish,0.5275820588179678
