,signal,stance,confidence
2024-01-01,1,bullish,0.6886505046456363
2024-01-02,0,neutral,0.6867659116602316
2024-01-03,1,bullish,0.5235031753297151
2024-01-04,1,bullish,0.5102028414072236
2024-01-05,0,neutral,0.6336179700392675
2024-01-08,0,neutral,0.5302014399618454
2024-01-09,0,neutral,0.5016608094597517
2024-01-10,1,bullish,0.6477875624038119
2024-01-11,1,bullish,0.6364690459601978
2024-01-12,0,neutral,0.6672105088437267
2024-01-15,1,bullish,0.6673397495513207
2024-01-16,1,bullish,0.5445010122647974
2024-01-17,-1,bearish,0.5666229310284813
2024-01-18,-1,bearish,0.6838777098078154
2024-01-19,0,neutral,0.6377281156560164
2024-01-22,1,bullish,0.6398555962646973
2024-01-23,-1,bearish,0.6438628877347505
2024-01-24,-1,bearish,0.6414781833462606
2024-01-25,1,bullish,0.5681726072497687
2024-01-26,1,bullish,0.598911631521447
2024-01-29,1,bullish,0.6999531810578181
2024-01-30,1,bullish,0.653535354152744
2024-01-31,1,bullish,0.6310889529389416
