,signal,stance,confidence
2024-01-01,-1,bearish,0.7099744343230904
2024-01-02,1,bullish,0.7508752882618865
2024-01-03,0,neutral,0.7810864394187637
2024-01-04,1,bullish,0.7065429473172182
2024-01-05,1,bullish,0.7004022897927528
2024-01-08,1,bullish,0.709332277488393
2024-01-09,0,neutral,0.7082435006540355
2024-01-10,0,neutral,0.7786941454772381
2024-01-11,1,bullish,0.7604026350584705
2024-01-12,0,neutral,0.7099227971546515
2024-01-15,1,bullish,0.7404645912538714
2024-01-16,1,bullish,0.7452185938565317
2024-01-17,1,bullish,0.7927385100026483
2024-01-18,-1,bearish,0.7585267330623343
2024-01-19,-1,bearish,0.7804406319795307
2024-01-22,1,bullish,0.7920067001362368
2024-01-23,-1,bearish,0.7252341852504399
2024-01-24,-1,bearish,0.7130087058802784
2024-01-25,1,bullish,0.7460991124780451
2024-01-26,1,bullish,0.7974272506448065
2024-01-29,1,bullish,0.7007023861710535
2024-01-30,1,bullish,0.7009504507639118
2024-01-31,1,bullish,0.7103734193770574
